, Fuel Type, Transmission, Mileage - ARAI Reported, Driving Range (km), Engine, Engine Type, Peak Power (bhp@rpm), Peak Torque (Nm@rpm), Drivetrain, Emission Standard, Steering Type, Minimum Turning Radius, Suspension - Front, Suspension - Rear, Wheels Type, Tyres Size - Front, Tyres Size - Rear, Spare Wheel, Bootspace / Dicky Capacity (L), Fuel Tank Capacity (L), Passenger Capacity, Length (mm), Width (mm), Height (mm), Wheelbase (mm), Ground Clearance (mm), Curb Weight (kgs), No of Seating Rows, No of Doors, Airbags, Seat Belt Warning, Child Lock, Anchor Points for Child Seat, Overspeed Warning, Anti theft Engine immobilizer, Type of Instrument Cluster / Dashboard Display, Mileage or  Average Fuel Consumption, Real Time Mileage, Average Speed, Distance to Empty, Trip Meter, Low Fuel Warning, Adjustable Cluster Brightness, Gear Shift Indicator, Parking Sensors, Clock, Tachometer, Unit / Display Size, Android / Apple Connectivity , Steering Adjustment, Air Conditioner, Heater, Front AC, 12V Power Outlets, Boot Access from the Last Row Seats, Brake Type - Front, Break Type - Rear, ABS - Anti Lock Braking System, EBD - Electronic Brake-force Distribution, Seat Upholstery, Adjustment Options - Driver Seat, Adjustment Options - Front Passanger Seat, Headrests, Rear Passenger Seats Type, Folding Rear Seat, Power Windows, WIndow Control: One Touch - Up, Window Control: One Touch -Down, Exterior Door Handles, Interior Door Handles, Outside Rear View Mirrors (ORVMs), Adjustable ORVM, Turn Indicators on ORVM, Boot / Dikki Opener, Headlights, Daytime Running Lights, Tail Light, Interiors, Lights inside Cabin, Cup Holders, Pockets inside Door, Roof Mounted Antenna, Body Coloured Bumpers, Rub - Strips, Warranty (Years), Warranty (Max Kilometres), Battery Warranty (Max Kilometres), Seat Adjustment,NAME, Speed Sensing Door Lock, Central Locking, Door Not Closed Warning, Infotainment Display, Steering Mounted Controls, Wireless Charger, Speakers, FM Radio, Bluetooth Connectivity, USB / Pen-Drive Support, Aux Support, iPod Compatibility, Vanity Mirrors on Sun Visors, Fog Lamps, Pockets in Front Seat-back, Body Kit, Parking Assist, Find My Car, Vehicle Status on App, Remote Car Lock/Unlock Via app, Remote AC Control Via app, Emergency Call, Geo-Fence, Anti-glare Rear View Mirrors, Rear Wiper, Rear Glass Defogger, Turbo / SuperCharger, Tyre Pressure Monitoring (TPMS), Push Button Start / Stop, Electronic Stability Program (ESP), Hill Hold Assist, Electric Motor, Peak Motor Performance, Battery, Others, Active Gear Display, Adjustment Options - Rear Row Seat, Battery Warranty (Years), NCAP Rating (Best - 5 Star), Middle rear three-point seatbelt, Flashing Emergency Brake Light , Headlights On Reminder, Integrated Music System, Voice Command Support, GPS & Navigation, MP3 Playback, Cruise Control Driving Mode, Rear AC, Head Rest for Middle Rear Seat, Brake Assist in Emergency (BA), Traction Control, Hill Descent Control, Driver Armrest, Split Rear Seat, Rain-sensing Wipers, Doot Sill Plates, Automatic Head Lights, Headlight Height Adjuster, Follow me home head Lights, Puddle Lights, Leather-wrapped Steering, Leather-wrapped Gear Knob, Interior Colour(s), Light inside Glove Box, Storage in Driver Armrest, Lights on Vanity Mirrors, Reading Lamp for Rear Passengers, Sunroof / Moonroof, Chrome Finish Exhaust pipe
0, Petrol, Manual - 5 Gears, 19.3, 579," 1198 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC", PURETECH 82, 80 bhp @ 5750 rpm, 115 Nm @ 3750 rpm, FWD, BS6 Phase 2, Power assisted (Electric), 4.98, MacPherson Strut with Coil Spring, Rear Twist Beam with Coil Spring, Steel Rims, 195 / 65 R15, 195 / 65 R15, Steel, 315, 30, 5, 3981, 1733, 1586, 2540, 180, 958, 2, 5," 2 Airbags (Driver, Front Passenger)",No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Digital,No information,No information,No information,No information, Electronic 2 Trips,No information,No information,No information, Rear, Digital, Digital, Not Applicable," Android Auto (No), Apple Car Play (No)", Tilt, Yes (Manual),No information," Single Zone, Common Fan Speed Control",No information,No information, Disc, Drum,No information,No information, Fabric," 4 way manually adjustable (seat forward / back, backrest tilt forward / back)"," 4 way manually adjustable (seat forward / back, backrest tilt forward / back)", Front & Rear, Bench, Full, Front Only, Front, Front, Black, Black, Black, Internally Adjustable,No information, Internal, Halogen, Halogen, Halogen, Single Tone, Front, Front Only, Front & Rear,No information,No information, Black, 2, 40000, Not Applicable, 2 Way,Citroen C3 Live 1.2 Petrol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, Petrol, Manual - 5 Gears, 19.3, 579," 1198 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC", PURETECH 82, 80 bhp @ 5750 rpm, 115 Nm @ 3750 rpm, FWD, BS6 Phase 2, Power assisted (Electric), 4.98, MacPherson Strut with Coil Spring, Rear Twist Beam with Coil Spring, Steel Rims, 195 / 65 R15, 195 / 65 R15, Steel, 315, 30, 5, 3981, 1733, 1586, 2540, 180, 982, 2, 5," 2 Airbags (Driver, Front Passenger)",No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Digital,No information,No information,No information,No information, Electronic 2 Trips,No information,No information,No information, Rear, Digital, Digital, Not Applicable," Android Auto (Wired), Apple Car Play (Wired)", Tilt, Yes (Manual),No information," Single Zone, Common Fan Speed Control",No information,No information, Disc, Drum,No information,No information, Fabric," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, seat height up / down)"," 4 way manually adjustable (seat forward / back, backrest tilt forward / back)", Front & Rear, Bench, Full, Front & Rear, All, All, Body Coloured, Chrome, Black, Internally Adjustable,No information, Internal, Halogen, LED, Halogen, Single Tone, Front, Front Only, Front & Rear,No information,No information, Black, 2, 40000, Not Applicable, 2 Way,Citroen C3 Feel 1.2 Petrol,No information, Remote,No information, Touch-screen Display,No information,No information, 4,No information, Phone & Audio Streaming,No information,No information,No information, Co-Driver Only, Halogen,No information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2, Petrol, Manual - 5 Gears, 19.3, 579," 1198 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC", PURETECH 82, 80 bhp @ 5750 rpm, 115 Nm @ 3750 rpm, FWD, BS6 Phase 2, Power assisted (Electric), 4.98, MacPherson Strut with Coil Spring, Rear Twist Beam with Coil Spring, Steel Rims, 195 / 65 R15, 195 / 65 R15, Steel, 315, 30, 5, 3981, 1733, 1586, 2540, 180, 982, 2, 5," 2 Airbags (Driver, Front Passenger)",No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Digital,No information,No information,No information,No information, Electronic 2 Trips,No information,No information,No information, Rear, Digital, Digital, Not Applicable," Android Auto (Wired), Apple Car Play (Wired)", Tilt, Yes (Manual),No information," Single Zone, Common Fan Speed Control",No information,No information, Disc, Drum,No information,No information, Fabric," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, seat height up / down)"," 4 way manually adjustable (seat forward / back, backrest tilt forward / back)", Front & Rear, Bench, Full, Front & Rear, All, All, Body Coloured, Chrome, Black, Internally Adjustable,No information, Internal, Halogen, LED, Halogen, Single Tone, Front, Front Only, Front & Rear,No information,No information, Black, 2, 40000, Not Applicable, 2 Way,Citroen C3 Feel 1.2 Petrol Vibe Pack,No information, Remote,No information, Touch-screen Display,No information,No information, 4,No information, Phone & Audio Streaming,No information,No information,No information, Co-Driver Only, Halogen,No information,No information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3, Petrol, Manual - 5 Gears, 19.3, 579," 1198 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC", PURETECH 82, 80 bhp @ 5750 rpm, 115 Nm @ 3750 rpm, FWD, BS6 Phase 2, Power assisted (Electric), 4.98, MacPherson Strut with Coil Spring, Rear Twist Beam with Coil Spring, Steel Rims, 195 / 65 R15, 195 / 65 R15, Steel, 315, 30, 5, 3981, 1733, 1586, 2540, 180, 982, 2, 5," 2 Airbags (Driver, Front Passenger)",No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Digital,No information,No information,No information,No information, Electronic 2 Trips,No information,No information,No information, Rear, Digital, Digital, Not Applicable," Android Auto (Wired), Apple Car Play (Wired)", Tilt, Yes (Manual),No information," Single Zone, Common Fan Speed Control",No information,No information, Disc, Drum,No information,No information, Fabric," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, seat height up / down)"," 4 way manually adjustable (seat forward / back, backrest tilt forward / back)", Front & Rear, Bench, Full, Front & Rear, All, All, Body Coloured, Chrome, Black, Internally Adjustable,No information, Internal, Halogen, LED, Halogen, Single Tone, Front, Front Only, Front & Rear,No information,No information, Black, 2, 40000, Not Applicable, 2 Way,Citroen C3 Feel 1.2 Petrol Dual Tone,No information, Remote,No information, Touch-screen Display,No information,No information, 4,No information, Phone & Audio Streaming,No information,No information,No information, Co-Driver Only, Halogen,No information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4, Petrol, Manual - 5 Gears, 19.3, 579," 1198 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC", PURETECH 82, 80 bhp @ 5750 rpm, 115 Nm @ 3750 rpm, FWD, BS6 Phase 2, Power assisted (Electric), 4.98, MacPherson Strut with Coil Spring, Rear Twist Beam with Coil Spring, Steel Rims, 195 / 65 R15, 195 / 65 R15, Steel, 315, 30, 5, 3981, 1733, 1586, 2540, 180, 982, 2, 5," 2 Airbags (Driver, Front Passenger)",No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Digital,No information,No information,No information,No information, Electronic 2 Trips,No information,No information,No information, Rear, Digital, Digital, Not Applicable," Android Auto (Wired), Apple Car Play (Wired)", Tilt, Yes (Manual),No information," Single Zone, Common Fan Speed Control",No information,No information, Disc, Drum,No information,No information, Fabric," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, seat height up / down)"," 4 way manually adjustable (seat forward / back, backrest tilt forward / back)", Front & Rear, Bench, Full, Front & Rear, All, All, Body Coloured, Chrome, Black, Internally Adjustable,No information, Internal, Halogen, LED, Halogen, Single Tone, Front, Front Only, Front & Rear,No information,No information, Black, 2, 40000, Not Applicable, 2 Way,Citroen C3 Feel 1.2 Petrol Vibe Pack Dual Tone,No information, Remote,No information, Touch-screen Display,No information,No information, 4,No information, Phone & Audio Streaming,No information,No information,No information, Co-Driver Only, Halogen,No information,No information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5, Petrol, Manual - 5 Gears, 19.3, 579," 1198 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC", PURETECH 82, 80 bhp @ 5750 rpm, 115 Nm @ 3750 rpm, FWD, BS6 Phase 2, Power assisted (Electric), 4.98, MacPherson Strut with Coil Spring, Rear Twist Beam with Coil Spring, Alloy Wheels, 195 / 65 R15, 195 / 65 R15, Steel, 315, 30, 5, 3981, 1733, 1586, 2540, 180, 987, 2, 5," 2 Airbags (Driver, Front Passenger)",No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Digital,No information,No information,No information,No information, Electronic 2 Trips,No information,No information,No information, Rear, Digital, Digital, Not Applicable," Android Auto (Wired), Apple Car Play (Wired)", Tilt, Yes (Manual),No information," Single Zone, Common Fan Speed Control",No information,No information, Disc, Drum,No information,No information, Fabric," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, seat height up / down)"," 4 way manually adjustable (seat forward / back, backrest tilt forward / back)", Front & Rear, Bench, Full, Front & Rear, All, All, Body Coloured, Chrome, Black, Electrically Adjustable,No information, Internal, Halogen, LED, Halogen, Single Tone, Front, Front Only, Front & Rear,No information,No information, Black, 2, 40000, Not Applicable, 2 Way,Citroen C3 Shine 1.2 Petrol,No information, Remote,No information, Touch-screen Display,No information,No information, 4,No information, Phone & Audio Streaming,No information,No information,No information, Co-Driver Only, Halogen,No information,, Reverse Camera,No information,No information,No information,No information,No information,No information, Manual - Internal Only,No information,No information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6, Petrol, Manual - 5 Gears, 19.3, 579," 1198 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC", PURETECH 82, 80 bhp @ 5750 rpm, 115 Nm @ 3750 rpm, FWD, BS6 Phase 2, Power assisted (Electric), 4.98, MacPherson Strut with Coil Spring, Rear Twist Beam with Coil Spring, Alloy Wheels, 195 / 65 R15, 195 / 65 R15, Steel, 315, 30, 5, 3981, 1733, 1586, 2540, 180, 987, 2, 5," 2 Airbags (Driver, Front Passenger)",No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Digital,No information,No information,No information,No information, Electronic 2 Trips,No information,No information,No information, Rear, Digital, Digital, Not Applicable," Android Auto (Wired), Apple Car Play (Wired)", Tilt, Yes (Manual),No information," Single Zone, Common Fan Speed Control",No information,No information, Disc, Drum,No information,No information, Fabric," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, seat height up / down)"," 4 way manually adjustable (seat forward / back, backrest tilt forward / back)", Front & Rear, Bench, Full, Front & Rear, All, All, Body Coloured, Chrome, Black, Electrically Adjustable,No information, Internal, Halogen, LED, Halogen, Single Tone, Front, Front Only, Front & Rear,No information,No information, Black, 2, 40000, Not Applicable, 2 Way,Citroen C3 Shine 1.2 Petrol Vibe Pack,No information, Remote,No information, Touch-screen Display,No information,No information, 4,No information, Phone & Audio Streaming,No information,No information,No information, Co-Driver Only, Halogen,No information,No information, Reverse Camera,No information,No information,No information,No information,No information,No information, Manual - Internal Only,No information,No information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7, Petrol, Manual - 5 Gears, 19.3, 579," 1198 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC", PURETECH 82, 80 bhp @ 5750 rpm, 115 Nm @ 3750 rpm, FWD, BS6 Phase 2, Power assisted (Electric), 4.98, MacPherson Strut with Coil Spring, Rear Twist Beam with Coil Spring, Alloy Wheels, 195 / 65 R15, 195 / 65 R15, Steel, 315, 30, 5, 3981, 1733, 1586, 2540, 180, 987, 2, 5," 2 Airbags (Driver, Front Passenger)",No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Digital,No information,No information,No information,No information, Electronic 2 Trips,No information,No information,No information, Rear, Digital, Digital, Not Applicable," Android Auto (Wired), Apple Car Play (Wired)", Tilt, Yes (Manual),No information," Single Zone, Common Fan Speed Control",No information,No information, Disc, Drum,No information,No information, Fabric," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, seat height up / down)"," 4 way manually adjustable (seat forward / back, backrest tilt forward / back)", Front & Rear, Bench, Full, Front & Rear, All, All, Body Coloured, Chrome, Black, Electrically Adjustable,No information, Internal, Halogen, LED, Halogen, Single Tone, Front, Front Only, Front & Rear,No information,No information, Black, 2, 40000, Not Applicable, 2 Way,Citroen C3 Shine 1.2 Petrol Dual Tone,No information, Remote,No information, Touch-screen Display,No information,No information, 4,No information, Phone & Audio Streaming,No information,No information,No information, Co-Driver Only, Halogen,No information,, Reverse Camera,No information,No information,No information,No information,No information,No information, Manual - Internal Only,No information,No information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
