, Fuel Type, Transmission, Top Speed, Time for 0-100 kmph Acceleration , Mileage - ARAI Reported, Driving Range (km), Engine, Engine Type, Peak Power (bhp@rpm), Peak Torque (Nm@rpm), Electric Motor, Battery, Turbo / SuperCharger, Drivetrain, Others, Emission Standard, Steering Type, Minimum Turning Radius, Suspension - Front, Suspension - Rear, Wheels Type, Tyres Size - Front, Tyres Size - Rear, Spare Wheel, Bootspace / Dicky Capacity (L), Fuel Tank Capacity (L), Passenger Capacity, Length (mm), Width (mm), Height (mm), Wheelbase (mm), Curb Weight (kgs), No of Seating Rows, No of Doors, NCAP Rating (Best - 5 Star), Airbags, Forward Collision Warning , Automatic Emergency Braking, Seat Belt Warning, Child Lock, Anchor Points for Child Seat, Overspeed Warning, Speed Sensing Door Lock, Anti theft Engine immobilizer, Middle rear three-point seatbelt, Flashing Emergency Brake Light , Lane Departure Warning, Central Locking, Type of Instrument Cluster / Dashboard Display, Mileage or  Average Fuel Consumption, Real Time Mileage, Average Speed, Distance to Empty, Trip Meter, Low Fuel Warning, Door Not Closed Warning, Adjustable Cluster Brightness, Active Gear Display, Tyre Pressure Monitoring (TPMS), Gear Shift Indicator, Parking Sensors, Parking Assist, Clock, Headlights On Reminder, Tachometer, Integrated Music System, Infotainment Display, Voice Command Support, Android / Apple Connectivity , Steering Mounted Controls, Wireless Charger, GPS & Navigation, Speakers, FM Radio, Bluetooth Connectivity, USB / Pen-Drive Support, Aux Support, iPod Compatibility, MP3 Playback, Push Button Start / Stop, Cruise Control Driving Mode, Steering Adjustment, Air Conditioner, Heater, Front AC, Rear AC, Vanity Mirrors on Sun Visors, Anti-glare Rear View Mirrors, 12V Power Outlets, Head Rest for Middle Rear Seat, Brake Type - Front, Break Type - Rear, ABS - Anti Lock Braking System, EBD - Electronic Brake-force Distribution, Brake Assist in Emergency (BA), Electronic Stability Program (ESP), Traction Control, Hill Hold Assist, Hill Descent Control, Limited Slip Differential (LSD), Braking Performance, Seat Upholstery, Ventilated Seats, Ventilated Seat Type, Adjustment Options - Driver Seat, Adjustment Options - Front Passanger Seat, Adjustment Options - Rear Row Seat, Driver Armrest, Armrest for Rear Seat, Headrests, Rear Passenger Seats Type, Power Windows, WIndow Control: One Touch - Up, Window Control: One Touch -Down, Rain-sensing Wipers, Rear Glass Defogger, Exterior Door Handles, Interior Door Handles, Doot Sill Plates, Outside Rear View Mirrors (ORVMs), Adjustable ORVM, Turn Indicators on ORVM, Boot / Dikki Opener, Headlights, Automatic Head Lights, Headlight Height Adjuster, Follow me home head Lights, Cornering Headlights, Daytime Running Lights, Tail Light, Interiors, Leather-wrapped Steering, Leather-wrapped Gear Knob, Interior Colour(s), Lights inside Cabin, Ambient or soft Interior Lighting, Cup Holders, Light inside Glove Box, Storage in Driver Armrest, Pockets inside Door, Pockets in Front Seat-back, Lights on Vanity Mirrors, Reading Lamp for Rear Passengers, Sunroof / Moonroof, Roof Mounted Antenna, Chrome Finish Exhaust pipe, Body Coloured Bumpers, Warranty (Years), Warranty (Max Kilometres), Battery Warranty (Max Kilometres), Seat Adjustment,NAME, Boot Access from the Last Row Seats, Ride Height Adjustment, 4x4 or All Wheel Drive, High-beam Assist, Differential Lock, Split Rear Seat, Fog Lamps, Cooled Glove Box, Sunglass Holder, Puncture Repair Kit, Find My Car, Vehicle Status on App, Emergency Call, Over The Air (OTA) Updates, Alexa Compatibility, Geo-Fence, Unit / Display Size, Folding Rear Seat, Blinds - Side Window, Blinds - Rear Windshield, Body Kit
0, Hybrid (Electric + Petrol)," Automatic (TC) - 8 Gears, Manual Override & Paddle Shift, Sport Mode", 254, 5.7, 11.4, 919," 1998 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC", 2.0L Turbocharged Petrol + eBooster 48V BSG, 330 bhp @ 5750 rpm, 450 Nm @ 2250 rpm, 1 Placed At Integrated with Transmission,"  Lithium Ion,Battery Placed Under Rear Seats", Turbocharged, RWD," Regenerative Braking, Idle Start/Stop", BS 6, Power assisted (Electric), 5.85," Double-wishbone, Anti-roll Bar"," Multi-link, Anti-roll Bar", Alloy Wheels, 235 / 50 R18, 235 / 50 R18, Space Saver, 500, 80, 5, 4971, 1945, 1461, 2998, 1878, 2, 4, 5 Star (Euro NCAP)," 7 Airbags (Driver, Front Passenger, 2 Curtain, Driver Knee, Front Passenger Knee, Driver Side)", Optional, Optional,No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information,No information,No information, Optional, Keyless, Analogue - Digital ,No information,No information,No information,No information, Electronic 2 Trips,No information,No information,No information,No information,No information,No information, Front & Rear, Reverse Camera with Guidance, Analogue,No information, Analogue,No information, Touch-screen Display,No information," Android Auto (Yes), Apple Car Play (Yes)",No information, Optional,No information, 6+,No information, Phone & Audio Streaming,No information,No information,No information,No information,No information,No information, Electric Tilt & Telescopic, Yes (Automatic Dual Zone),No information," Two Zones, Individual Fan Speed Controls"," Separate Zone, Vents Behind Front Armrest, Common Fan Speed Control", Driver & Co-Driver, Electronic - Internal Only,No information,No information, Ventilated Disc, Ventilated Disc,No information,No information,No information,No information,No information,No information,No information,No information, 35.5, Leather, Optional, Optional," 10 way electrically adjustable with 2 memory presets (seat forward / back, backrest tilt forward / back, seat height up / down, lumbar up / down, lumbar forward / back) + 2 way manually adjustable (headrest up / down)"," 10 way electrically adjustable (seat forward / back, backrest tilt forward / back, seat height up / down, lumbar up / down, lumbar forward / back) + 2 way manually adjustable (headrest up / down)", 2 way manually adjustable (headrest up / down),No information, With Cup Holder, Front & Rear, Bench, Front & Rear, All, All,No information,No information, Body Coloured, Chrome, Metallic, Body Coloured, Electrically Adjustable & Retractable,No information, Electric Tailgate Release, LED,No information,No information,No information, Active, LED, LED, Single Tone,No information,No information, Customisable, Front and Rear, Optional, Front & Rear,No information,No information, Front & Rear,No information, Driver & Co-Driver,No information, Electrically Adjustable,No information,No information,No information, 4, 80000,No information, 2 Way,Maserati Ghibli GT Hybrid,,,,,,,,,,,,,,,,,,,,,
1, Petrol," Automatic (TC) - 8 Gears, Manual Override & Paddle Shift, Sport Mode", 286, 4.9, 9.3, 748," 2979 cc, 6 Cylinders In V Shape, 4 Valves/Cylinder, DOHC", 3.0L Twin-Turbocharged Petrol V6, 430 bhp @ 5750 rpm, 580 Nm @ 2250 rpm,,, Twin Turbo, RWD,  Idle Start/Stop, BS 6, Power assisted (Electric), 5.85," Double-wishbone, Skyhook Shock Absorbers, Anti-roll Bar"," Multi-Link, Skyhook Shock Absorbers, Anti-roll Bar", Alloy Wheels, 245 / 40 R20, 245 / 40 R20, Space Saver, 500, 80, 5, 4971, 1945, 1461, 2998, 1810, 2, 4, 5 Star (Euro NCAP)," 7 Airbags (Driver, Front Passenger, 2 Curtain, Driver Knee, Front Passenger Knee, Driver Side)",No information,No information,No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information,No information,No information, Optional, Keyless, Analogue - Digital ,No information,No information,No information,No information, Electronic 2 Trips,No information,No information,No information,No information,No information,No information, Front & Rear, Reverse Camera with Guidance, Analogue,No information, Analogue,No information, Touch-screen Display,No information," Android Auto (Yes), Apple Car Play (Yes)",No information, Optional,No information, 6+,No information, Phone & Audio Streaming,No information,No information,No information,No information,,No information, Electric Tilt & Telescopic, Yes (Automatic Three Zone),No information," Two Zones, Individual Fan Speed Controls"," Separate Zone, Vents Behind Front Armrest, Common Fan Speed Control", Driver & Co-Driver, Electronic - All,No information,No information, Ventilated Disc, Ventilated Disc,No information,No information,No information,No information,No information,No information,No information,No information,, Leather, Optional, Optional," 10 way electrically adjustable with 2 memory presets (seat forward / back, backrest tilt forward / back, seat height up / down, lumbar up / down, lumbar forward / back) + 2 way manually adjustable (headrest up / down)"," 10 way electrically adjustable (seat forward / back, backrest tilt forward / back, seat height up / down, lumbar up / down, lumbar forward / back) + 2 way manually adjustable (headrest up / down)", 2 way manually adjustable (headrest up / down),No information, With Cup Holder, Front & Rear, Bench, Front & Rear, All, All,No information,No information, Body Coloured, Chrome, Metallic, Body Coloured, Electrically Adjustable & Retractable,No information, Electric Tailgate Release, LED,No information,,No information, Active, LED, LED, Dual Tone,No information,No information, Customisable, Front and Rear, Optional, Front & Rear,No information,No information, Front & Rear,No information, Driver & Co-Driver,No information, Electrically Adjustable,No information,No information,No information, 4, 80000,No information, 2 Way,Maserati Ghibli Modena S,No information,No information,,,,,,,,,,,,,,,,,,,
2, Petrol," Automatic (TC) - 8 Gears, Manual Override & Paddle Shift, Sport Mode", 326, 4.3, 8, 640," 3799 cc, 8 Cylinders In V Shape, 4 Valves/Cylinder, DOHC", 3.8L Twin-Turbocharged Petrol V8, 581 bhp @ 6750 rpm, 730 Nm @ 2250 rpm,,, Twin Turbo, RWD,  Idle Start/Stop, BS 6, Power assisted (Electric), 5.85," Double-wishbone, Skyhook Shock Absorbers, Anti-roll Bar"," Multi-Link, Skyhook Shock Absorbers, Anti-roll Bar", Alloy Wheels, 245 / 40 R21, 285 / 35 R21, Space Saver, 500, 80, 5, 4971, 1945, 1461, 2998, 1969, 2, 4, 5 Star (Euro NCAP)," 7 Airbags (Driver, Front Passenger, 2 Curtain, Driver Knee, Front Passenger Knee, Driver Side)", Optional, Optional,No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information,No information,No information, Optional, Keyless, Analogue - Digital ,No information,No information,No information,No information, Electronic 2 Trips,No information,No information,No information,No information,No information,No information, Front & Rear, Reverse Camera with Guidance, Analogue,No information, Analogue,No information, Touch-screen Display,No information," Android Auto (Yes), Apple Car Play (Yes)",No information, Optional,No information, 6+,No information, Phone & Audio Streaming,No information,No information,No information,No information,No information,No information, Electric Tilt & Telescopic, Yes (Automatic Dual Zone),No information," Two Zones, Individual Fan Speed Controls"," Separate Zone, Vents Behind Front Armrest, Common Fan Speed Control", Driver & Co-Driver, Electronic - All,No information,No information, Ventilated Disc, Ventilated Disc,No information,No information,No information,No information,No information,No information,No information,No information, 34, Leather, Optional, Optional," 10 way electrically adjustable with 2 memory presets (seat forward / back, backrest tilt forward / back, seat height up / down, lumbar up / down, lumbar forward / back) + 2 way manually adjustable (headrest up / down)"," 10 way electrically adjustable (seat forward / back, backrest tilt forward / back, seat height up / down, lumbar up / down, lumbar forward / back) + 2 way manually adjustable (headrest up / down)", 2 way manually adjustable (headrest up / down),No information, With Cup Holder, Front & Rear, Bench, Front & Rear, All, All,No information,No information, Body Coloured, Chrome, Metallic, Body Coloured, Electrically Adjustable & Retractable,No information, Electric Tailgate Release, LED,No information,No information,No information, Active, LED, LED, Dual Tone,No information,No information, Customisable, Front and Rear, Optional, Front & Rear,No information,No information, Front & Rear,No information, Driver & Co-Driver,No information, Electrically Adjustable,No information,No information,No information, 4, 80000,No information, 2 Way,Maserati Ghibli Trofeo,,,,,,,,,,,,,,,,,,,,,
3, Petrol," Automatic (TC) - 8 Gears, Manual Override, Sport Mode", 251, 6, 9.3, 748," 2979 cc, 6 Cylinders In V Shape, 4 Valves/Cylinder, DOHC", 3.0L V6 TwinTurbo, 349 bhp @ 5750 rpm, 500 Nm @ 1750 rpm,,, Turbocharged, AWD,  Idle Start/Stop, BS 6, Power assisted (Electric), 5.85, Double Wishbone, Multi-Link, Alloy Wheels, 255 / 60 R18, 255 / 60 R18, Alloy, 580, 80, 5, 5005, 1981, 1693, 3004, 2109, 2, 5,," 6 Airbags (Driver, Front Passenger, 2 Curtain, 2 Rear Passenger Side)", Optional, Optional,No information,No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information,No information,No information,No information, Optional, Keyless, Analogue - Digital ,No information,No information,No information,No information, 2 Trips,No information,No information,No information,No information,No information,No information, Front & Rear, Reverse Camera with Guidance, Analogue,No information, Analogue,No information, Touch-screen Display,No information," Android Auto (Yes), Apple Car Play (Yes)",No information, Optional,No information, 6+,No information, Phone & Audio Streaming,No information,No information,No information,No information,,No information, Electric Tilt & Telescopic, Yes (Automatic Dual Zone),No information," Two Zones, Individual Fan Speed Controls"," Blower, Vents Behind Front Armrest, Individual Fan Speed Controls", Driver & Co-Driver, Electronic - All, 2,No information, Disc, Disc,No information,No information,No information,No information,No information,No information,No information,No information, 36, Leather, All, Heated," 10 way electrically adjustable with 2 memory presets (seat forward / back, backrest tilt forward / back, seat height up / down, lumbar up / down, lumbar forward / back) + 2 way manually adjustable (headrest up / down)"," 10 way electrically adjustable (seat forward / back, backrest tilt forward / back, seat height up / down, lumbar up / down, lumbar forward / back) + 2 way manually adjustable (headrest up / down)", 2 way manually adjustable (headrest up / down),No information, With Cup Holder, Front & Rear, Bench, Front & Rear, All, All,No information,No information, Chrome, Chrome, Metallic, Body Coloured, Electrically Adjustable & Retractable,No information, Internal with Remote, LED,No information,No information,No information, Active, LED, LED, Single Tone,No information,, Customisable, Front,, Front & Rear,No information,No information, Front & Rear,No information, Driver & Co-Driver,No information, Electrically Adjustable,No information,No information,No information, 3, Unlimited ,No information, 2 Way,Maserati Levante GT Hybrid,No information,No information, Torque-On-Demand, Optional, Electronic, 50:50 split, LED on front,No information,No information,,,,,,,,,,,,
