, Fuel Type, Transmission, Mileage - ARAI Reported, Driving Range (km), Engine, Engine Type, Peak Power (bhp@rpm), Peak Torque (Nm@rpm), Drivetrain, Emission Standard, Steering Type, Minimum Turning Radius, Suspension - Front, Suspension - Rear, Wheels Type, Tyres Size - Front, Tyres Size - Rear, Spare Wheel, Bootspace / Dicky Capacity (L), Fuel Tank Capacity (L), Passenger Capacity, Length (mm), Width (mm), Height (mm), Wheelbase (mm), Ground Clearance (mm), Curb Weight (kgs), No of Seating Rows, No of Doors, NCAP Rating (Best - 5 Star), Airbags, Seat Belt Warning, Child Lock, Overspeed Warning, Anti theft Engine immobilizer, Type of Instrument Cluster / Dashboard Display, Low Fuel Warning, Tyre Pressure Monitoring (TPMS), Gear Shift Indicator, Parking Sensors, Clock, Headlights On Reminder, Tachometer, Android / Apple Connectivity , Steering Adjustment, Air Conditioner, Heater, Front AC, Vanity Mirrors on Sun Visors, Anti-glare Rear View Mirrors, 12V Power Outlets, Boot Access from the Last Row Seats, Brake Type - Front, Break Type - Rear, ABS - Anti Lock Braking System, EBD - Electronic Brake-force Distribution, Traction Control, Hill Hold Assist, Seat Upholstery, Adjustment Options - Driver Seat, Adjustment Options - Front Passanger Seat, Adjustment Options - Rear Row Seat, Headrests, Rear Passenger Seats Type, Folding Rear Seat, Power Windows, Rear Wiper, Rear Glass Defogger, Exterior Door Handles, Interior Door Handles, Outside Rear View Mirrors (ORVMs), Adjustable ORVM, Boot / Dikki Opener, Headlights, Headlight Height Adjuster, Tail Light, Interiors, Interior Colour(s), Lights inside Cabin, Cup Holders, Pockets inside Door, Roof Mounted Antenna, Body Coloured Bumpers, Body Kit, Rub - Strips, Warranty (Years), Warranty (Max Kilometres), Battery Warranty (Max Kilometres), Seat Adjustment,NAME, Speed Sensing Door Lock, Central Locking, Integrated Music System, Unit / Display Size, Steering Mounted Controls, Speakers, FM Radio, Bluetooth Connectivity, USB / Pen-Drive Support, Aux Support, MP3 Playback, WIndow Control: One Touch - Up, Window Control: One Touch -Down, Turn Indicators on ORVM, Anchor Points for Child Seat, Mileage or  Average Fuel Consumption, Real Time Mileage, Average Speed, Distance to Empty, Trip Meter, Door Not Closed Warning, Adjustable Cluster Brightness, Parking Assist, Infotainment Display, Voice Command Support, GPS & Navigation, iPod Compatibility, Push Button Start / Stop, Armrest for Rear Seat, Split Rear Seat, Daytime Running Lights, Light inside Glove Box, Pockets in Front Seat-back, Electronic Stability Program (ESP), Ambient or soft Interior Lighting, Turbo / SuperCharger, Brake Assist in Emergency (BA), Wireless Charger, Cruise Control Driving Mode, Rear AC, Driver Armrest, Doot Sill Plates, Fog Lamps, Leather-wrapped Steering, Storage in Driver Armrest, Find My Car, Vehicle Status on App, Geo-Fence, Active Gear Display
0, Petrol, Manual - 5 Gears, 18.75, 750," 999 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.0L B4D, 71 bhp @ 6250 rpm, 96 Nm @ 3500 rpm, FWD, BS6 Phase 2, Power assisted (Electric), 5, Mac Pherson Strut with Lower Transverse Link, Twin-tube Telescopic Shock Absorber, Steel Rims, 195 / 60 R16, 195 / 60 R16, Steel, 336, 40, 5, 3994, 1758, 1572, 2500, 205, 939, 2, 5, 4 Star (ASEAN NCAP)," 2 Airbags (Driver, Front Passenger)",No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Analogue - Digital ,No information,No information,No information, Rear, Digital,No information, Analogue," Android Auto (No), Apple Car Play (No)", Tilt, Yes (Manual),No information," Single Zone, Common Fan Speed Control", Co-Driver Only, Manual - Internal Only, 1,No information, Disc, Drum,No information,No information,No information,No information, Fabric," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", 2 way manually adjustable (headrest up / down), Front & Rear, Bench, Full, Front & Rear,No information,No information, Body Coloured, Black, Black, Internally Adjustable, Internal, Halogen,No information, Halogen, Single Tone, Light Gray, Front and Rear, Front Only, Front & Rear,No information,No information, Cladding - Black/Grey, Black, 2, 40000,No information, 2 Way,Nissan Magnite XE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, Petrol, Manual - 5 Gears, 18.75, 750," 999 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.0L B4D, 71 bhp @ 6250 rpm, 96 Nm @ 3500 rpm, FWD, BS6 Phase 2, Power assisted (Electric), 5, Mac Pherson Strut with Lower Transverse Link, Twin-tube Telescopic Shock Absorber, Steel Rims, 195 / 60 R16, 195 / 60 R16, Steel, 336, 40, 5, 3994, 1758, 1572, 2500, 205, 939, 2, 5, 4 Star (ASEAN NCAP)," 2 Airbags (Driver, Front Passenger)",No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Analogue - Digital ,No information,No information,No information, Rear, Digital,No information, Analogue," Android Auto (No), Apple Car Play (No)", Tilt, Yes (Automatic Climate Control),No information," Single Zone, Common Fan Speed Control", Co-Driver Only, Manual - Internal Only, 1,No information, Disc, Drum,No information,No information,No information,No information, Fabric," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", 2 way manually adjustable (headrest up / down), Front & Rear, Bench, Full, Front & Rear,No information,No information, Body Coloured, Silver, Body Coloured, Electrically Adjustable & Retractable, Internal, Halogen,No information, Halogen, Single Tone, Light Gray, Front and Rear, Front Only, Front & Rear,No information,No information, Cladding - Black/Grey, Black, 2, 40000,No information, 2 Way,Nissan Magnite XL,No information, Remote,No information, 2 Din,No information, 4,No information, Phone & Audio Streaming,No information,No information,No information, Driver, Driver,No information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2, Petrol, Manual - 5 Gears, 18.75, 750," 999 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.0L B4D, 71 bhp @ 6250 rpm, 96 Nm @ 3500 rpm, FWD, BS6 Phase 2, Power assisted (Electric), 5, Mac Pherson Strut with Lower Transverse Link, Twin-tube Telescopic Shock Absorber, Alloy Wheels, 195 / 60 R16, 195 / 60 R16, Steel, 336, 40, 5, 3994, 1758, 1572, 2500, 205, 939, 2, 5, 4 Star (ASEAN NCAP)," 2 Airbags (Driver, Front Passenger)",No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Digital,No information,No information,No information, Rear, Digital,No information, Digital," Android Auto (Yes), Apple Car Play (Yes)", Tilt, Yes (Automatic Climate Control),No information," Single Zone, Common Fan Speed Control", Driver & Co-Driver, Manual - Internal Only, 1,No information, Disc, Drum,No information,No information,No information,No information, Fabric," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", 2 way manually adjustable (headrest up / down), Front & Rear, Bench, Full, Front & Rear,No information,No information, Chrome, Silver, Body Coloured, Electrically Adjustable & Retractable, Electric Tailgate Release, Halogen,No information, Halogen, Single Tone, Light Gray, Front and Rear, Front & Rear, Front & Rear,No information,No information, Cladding - Black/Grey, Silver, 2, 40000,No information, 2 Way,Nissan Magnite XV Executive,No information, Keyless,No information,,No information, 6,No information, Phone & Audio Streaming,No information,,No information, Driver, Driver,No information,No information,No information,No information,No information,No information, Electronic 2 Trips,No information,No information, Reverse Camera with Guidance, Touch-screen Display,No information,No information,No information,No information, With Cup Holder, 60:40 split, LED,No information,No information,,,,,,,,,,,,,,,,
3, Petrol, Manual - 5 Gears, 18.75, 750," 999 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.0L B4D, 71 bhp @ 6250 rpm, 96 Nm @ 3500 rpm, FWD, BS6 Phase 2, Power assisted (Electric), 5, Mac Pherson Strut with Lower Transverse Link, Twin-tube Telescopic Shock Absorber, Alloy Wheels, 195 / 60 R16, 195 / 60 R16, Steel, 336, 40, 5, 3994, 1758, 1572, 2500, 205, 939, 2, 5, 4 Star (ASEAN NCAP)," 2 Airbags (Driver, Front Passenger)",No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Digital,No information,No information,No information, Rear, Digital,No information, Digital," Android Auto (Wireless), Apple Car Play (Yes)", Tilt, Yes (Automatic Climate Control),No information," Single Zone, Common Fan Speed Control", Driver & Co-Driver, Manual - Internal Only, 1,No information, Disc, Drum,No information,No information,No information,No information, Fabric," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", 2 way manually adjustable (headrest up / down), Front & Rear, Bench, Full, Front & Rear,No information,No information, Chrome, Silver, Body Coloured, Electrically Adjustable & Retractable, Electric Tailgate Release, Halogen,No information, Halogen, Single Tone, Light Gray, Front and Rear, Front & Rear, Front & Rear,No information,No information, Cladding - Black/Grey, Silver, 2, 40000,No information, 2 Way,Nissan Magnite Geza Edition,No information, Keyless,No information,,No information, 6,No information, Phone & Audio Streaming,No information,,No information, Driver, Driver,No information,No information,No information,No information,No information,No information, Electronic 2 Trips,No information,No information, Reverse Camera with Guidance, Touch-screen Display,No information,No information,No information,No information, With Cup Holder, 60:40 split, LED,No information,No information,No information,No information,,,,,,,,,,,,,,
4, Petrol, Manual - 5 Gears, 18.75, 750," 999 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.0L B4D, 71 bhp @ 6250 rpm, 96 Nm @ 3500 rpm, FWD, BS6 Phase 2, Power assisted (Electric), 5, Mac Pherson Strut with Lower Transverse Link, Twin-tube Telescopic Shock Absorber, Alloy Wheels, 195 / 60 R16, 195 / 60 R16, Steel, 336, 40, 5, 3994, 1758, 1572, 2500, 205, 939, 2, 5, 4 Star (ASEAN NCAP)," 2 Airbags (Driver, Front Passenger)",No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Digital,No information,No information,No information, Rear, Digital,No information, Digital," Android Auto (Yes), Apple Car Play (Yes)", Tilt, Yes (Automatic Climate Control),No information," Single Zone, Common Fan Speed Control", Driver & Co-Driver, Manual - Internal Only, 1,No information, Disc, Drum,No information,No information,No information,No information, Fabric," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", 2 way manually adjustable (headrest up / down), Front & Rear, Bench, Full, Front & Rear,No information,No information, Chrome, Silver, Body Coloured, Electrically Adjustable & Retractable, Electric Tailgate Release, Halogen,No information, Halogen, Single Tone, Light Gray, Front and Rear, Front & Rear, Front & Rear,No information,No information, Cladding - Black/Grey, Silver, 2, 40000,No information, 2 Way,Nissan Magnite XV,No information, Keyless,No information,,No information, 6,No information, Phone & Audio Streaming,No information,,No information, Driver, Driver,No information,No information,No information,No information,No information,No information, Electronic 2 Trips,No information,No information, Reverse Camera with Guidance, Touch-screen Display,No information,No information,No information,No information, With Cup Holder, 60:40 split, LED,No information,No information,,,,,,,,,,,,,,,,
5, Petrol, Manual - 5 Gears, 18.75, 750," 999 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.0L B4D, 71 bhp @ 6250 rpm, 96 Nm @ 3500 rpm, FWD, BS6 Phase 2, Power assisted (Electric), 5, Mac Pherson Strut with Lower Transverse Link, Twin-tube Telescopic Shock Absorber, Alloy Wheels, 195 / 60 R16, 195 / 60 R16, Steel, 336, 40, 5, 3994, 1758, 1572, 2500, 205, 939, 2, 5, 4 Star (ASEAN NCAP)," 2 Airbags (Driver, Front Passenger)",No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Digital,No information,No information,No information, Rear, Digital,No information, Digital," Android Auto (Yes), Apple Car Play (Yes)", Tilt, Yes (Automatic Climate Control),No information," Single Zone, Common Fan Speed Control", Driver & Co-Driver, Manual - Internal Only, 1,No information, Disc, Drum,No information,No information,No information,No information, Fabric," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", 2 way manually adjustable (headrest up / down), Front & Rear, Bench, Full, Front & Rear,No information,No information, Chrome, Silver, Body Coloured, Electrically Adjustable & Retractable, Electric Tailgate Release, Halogen,No information, Halogen, Single Tone, Light Gray, Front and Rear, Front & Rear, Front & Rear,No information,No information, Cladding - Black/Grey, Silver, 2, 40000,No information, 2 Way,Nissan Magnite XV Dual Tone,No information, Keyless,No information,,No information, 6,No information, Phone & Audio Streaming,No information,,No information, Driver, Driver,No information,No information,No information,No information,No information,No information, Electronic 2 Trips,No information,No information, Reverse Camera with Guidance, Touch-screen Display,No information,No information,No information,No information, With Cup Holder, 60:40 split, LED,No information,No information,,,,,,,,,,,,,,,,
6, Petrol, Manual - 5 Gears, 18.75, 750," 999 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.0L B4D, 71 bhp @ 6250 rpm, 96 Nm @ 3500 rpm, FWD, BS6 Phase 2, Power assisted (Electric), 5, Mac Pherson Strut with Lower Transverse Link, Twin-tube Telescopic Shock Absorber, Alloy Wheels, 195 / 60 R16, 195 / 60 R16, Steel, 336, 40, 5, 3994, 1758, 1572, 2500, 205, 939, 2, 5, 4 Star (ASEAN NCAP)," 2 Airbags (Driver, Front Passenger)",No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Digital,No information,No information,No information, Rear, Digital,No information, Digital," Android Auto (Yes), Apple Car Play (Yes)", Tilt, Yes (Automatic Climate Control),No information," Single Zone, Common Fan Speed Control", Driver & Co-Driver, Manual - Internal Only, 1,No information, Disc, Drum,No information,No information,No information,No information, Fabric," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", 2 way manually adjustable (headrest up / down), Front & Rear, Bench, Full, Front & Rear,No information,No information, Chrome, Silver, Body Coloured, Electrically Adjustable & Retractable, Electric Tailgate Release, Halogen,No information, Halogen, Single Tone, Light Gray, Front and Rear, Front & Rear, Front & Rear,No information,No information, Cladding - Black/Grey, Silver, 2, 40000,No information, 2 Way,Nissan Magnite XV Red Edition,No information, Keyless,No information,,No information, 6,No information, Phone & Audio Streaming,No information,,No information, Driver, Driver,No information,No information,No information,No information,No information,No information, Electronic 2 Trips,No information,No information, Reverse Camera with Guidance, Touch-screen Display,No information,No information,No information,No information, With Cup Holder, 60:40 split, LED,No information,No information,,,,,,,,,,,,,,,,
7, Petrol, Manual - 5 Gears, 20, 800," 999 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.0L HRAO Turbo, 99 bhp @ 5000 rpm, 160 Nm @ 2800 rpm, FWD, BS6 Phase 2, Power assisted (Electric), 5, Mac Pherson Strut with Lower Transverse Link, Twin-tube Telescopic Shock Absorber, Steel Rims, 195 / 60 R16, 195 / 60 R16, Steel, 336, 40, 5, 3994, 1758, 1572, 2500, 205, 1014, 2, 5, 4 Star (ASEAN NCAP)," 2 Airbags (Driver, Front Passenger)",No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Analogue - Digital ,No information,No information,No information, Rear, Digital,No information, Analogue," Android Auto (No), Apple Car Play (No)", Tilt, Yes (Automatic Climate Control),No information," Single Zone, Common Fan Speed Control", Co-Driver Only, Manual - Internal Only, 1,No information, Disc, Drum,No information,No information,No information,No information, Fabric," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", 2 way manually adjustable (headrest up / down), Front & Rear, Bench, Full, Front & Rear,No information,No information, Body Coloured, Silver, Body Coloured, Electrically Adjustable & Retractable, Internal, Halogen,No information, Halogen, Single Tone, Light Gray, Front and Rear, Front & Rear, Front & Rear,No information,No information, Cladding - Black/Grey, Black, 2, 40000,No information, 2 Way,Nissan Magnite XL Turbo,No information, Remote,No information, 2 Din,No information, 4,No information, Phone & Audio Streaming,No information,No information,No information, Driver, Driver,No information,No information,,,,,,,,,,,,,, With Cup Holder, 60:40 split,,,,No information,, Turbocharged,No information,,,,,,,,,,,,
8, Petrol, Manual - 5 Gears, 18.75, 750," 999 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.0L B4D, 71 bhp @ 6250 rpm, 96 Nm @ 3500 rpm, FWD, BS6 Phase 2, Power assisted (Electric), 5, Mac Pherson Strut with Lower Transverse Link, Twin-tube Telescopic Shock Absorber, Alloy Wheels, 195 / 60 R16, 195 / 60 R16, Steel, 336, 40, 5, 3994, 1758, 1572, 2500, 205, 939, 2, 5, 4 Star (ASEAN NCAP)," 2 Airbags (Driver, Front Passenger)",No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Digital,No information,No information,No information, Rear, Digital,No information, Digital," Android Auto (Yes), Apple Car Play (Yes)", Tilt, Yes (Automatic Climate Control),No information," Single Zone, Common Fan Speed Control", Driver & Co-Driver, Manual - Internal Only, 2,No information, Disc, Drum,No information,No information,No information,No information, Fabric + Leatherette," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", 2 way manually adjustable (headrest up / down), Front & Rear, Bench, Full, Front & Rear,No information,No information, Chrome, Silver, Body Coloured, Electrically Adjustable & Retractable, Electric Tailgate Release, Bi-Xenon Projector,No information, Halogen, Dual Tone, Black / Light Gray, Front and Rear, Front & Rear, Front & Rear,No information,No information, Cladding - Black/Grey, Silver, 2, 40000,No information, 2 Way,Nissan Magnite XV Premium,No information, Keyless,No information,,No information, 6,No information, Phone & Audio Streaming,No information,,No information, Driver, Driver,No information,No information,No information,No information,No information,No information, Electronic 2 Trips,No information,No information, Reverse Camera with Guidance, Touch-screen Display,No information,No information,No information,No information, With Cup Holder, 60:40 split, LED,No information,No information,, Optional,,, Optional,No information," Blower, Vents Behind Front Armrest",No information, Optional , LED,No information,No information,,,,
9, Petrol, Manual - 5 Gears, 18.75, 750," 999 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.0L B4D, 71 bhp @ 6250 rpm, 96 Nm @ 3500 rpm, FWD, BS6 Phase 2, Power assisted (Electric), 5, Mac Pherson Strut with Lower Transverse Link, Twin-tube Telescopic Shock Absorber, Alloy Wheels, 195 / 60 R16, 195 / 60 R16, Steel, 336, 40, 5, 3994, 1758, 1572, 2500, 205, 939, 2, 5, 4 Star (ASEAN NCAP)," 2 Airbags (Driver, Front Passenger)",No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Digital,No information,No information,No information, Rear, Digital,No information, Digital," Android Auto (Yes), Apple Car Play (Yes)", Tilt, Yes (Automatic Climate Control),No information," Single Zone, Common Fan Speed Control", Driver & Co-Driver, Manual - Internal Only, 2,No information, Disc, Drum,No information,No information,No information,No information, Fabric + Leatherette," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", 2 way manually adjustable (headrest up / down), Front & Rear, Bench, Full, Front & Rear,No information,No information, Chrome, Silver, Body Coloured, Electrically Adjustable & Retractable, Electric Tailgate Release, Bi-Xenon Projector,No information, Halogen, Dual Tone, Black / Light Gray, Front and Rear, Front & Rear, Front & Rear,No information,No information, Cladding - Black/Grey, Silver, 2, 40000,No information, 2 Way,Nissan Magnite XV Premium Dual Tone,No information, Keyless,No information,,No information, 6,No information, Phone & Audio Streaming,No information,,No information, Driver, Driver,No information,No information,No information,No information,No information,No information, Electronic 2 Trips,No information,No information, Reverse Camera with Guidance, Touch-screen Display,No information,No information,No information,No information, With Cup Holder, 60:40 split, LED,No information,No information,, Optional,,, Optional,No information," Blower, Vents Behind Front Armrest",No information, Optional , LED,No information,No information,,,,
10, Petrol, Manual - 5 Gears, 20, 800," 999 cc, 3 Cylinders Inline, 4 Valves/Cylinder, DOHC", 1.0L HRAO Turbo, 99 bhp @ 5000 rpm, 160 Nm @ 2800 rpm, FWD, BS6 Phase 2, Power assisted (Electric), 5, Mac Pherson Strut with Lower Transverse Link, Twin-tube Telescopic Shock Absorber, Alloy Wheels, 195 / 60 R16, 195 / 60 R16, Steel, 336, 40, 5, 3994, 1758, 1572, 2500, 205, 1014, 2, 5, 4 Star (ASEAN NCAP)," 2 Airbags (Driver, Front Passenger)",No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Digital,No information,No information,No information, Rear, Digital,No information, Digital," Android Auto (Yes), Apple Car Play (Yes)", Tilt, Yes (Automatic Climate Control),No information," Single Zone, Common Fan Speed Control", Driver & Co-Driver, Manual - Internal Only, 1,No information, Disc, Drum,No information,No information,No information,No information, Fabric," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)", 2 way manually adjustable (headrest up / down), Front & Rear, Bench, Full, Front & Rear,No information,No information, Chrome, Silver, Body Coloured, Electrically Adjustable & Retractable, Electric Tailgate Release, Halogen,No information, Halogen, Single Tone, Light Gray, Front and Rear, Front & Rear, Front & Rear,No information,No information, Cladding - Black/Grey, Silver, 2, 40000,No information, 2 Way,Nissan Magnite XV Turbo,No information, Keyless,No information,,No information, 6,No information, Phone & Audio Streaming,No information,,No information, Driver, Driver,No information,No information,No information,No information,No information,No information, Electronic 2 Trips,No information,No information, Reverse Camera with Guidance, Touch-screen Display,No information,No information,No information,No information, With Cup Holder, 60:40 split, LED,No information,No information,No information,, Turbocharged,No information,,,,,,,,,,,,
